Período,Disciplina,Media Final
2016.1,Algebra Linear I,5.4
2016.1,Geometria Analítica,6.1
2016.1,Matemática Discreta para Computação,6.1
2016.1,Computação I,8.5
2016.1,ICC, 5.7
2016.2,Computação 2, 7
2016.2,Cálculo I,4.2
2016.2,Álgebra Linear Computacional,5.2
2016.2,Circuitos Digitais,5.7
2016.2,Fundamentos de Sistemas,6.7
2017.1,Arquitetura de Computadores I,6.8
2017.1,Linguagens Formais e Autômatos,8.8
2017.1,Estrutura de Dados I,8.2
2017.2,Estrutura de Dados II,5.5
2017.2,Grafos e Algoritmos,6
2017.2,Arquitetura de Computadores,6.1
2017.2,Modelagem de Sistemas,4
2017.2,Redes de Computadores,5.3
2018.1,Linguagens de Programação, 7.6
2018.1,Sistemas Operacionais,7.1
2018.1,Inteligência Artificial,8.5
2018.1,Computação Gráfica,6
2018.1,Projeto e Análise de Algoritmos,5
2018.2,Cálculo I,7.1
2018.2,Compiladores,8.3
2018.2,Tópicos Especiais em Ciência da Computação,10
2018.2,Modelagem de Sistemas,3.8
2018.2,Banco de Dados,5.5
2018.2,Algoritmos Paralelos e Distribuídos,6
2019.1,Cálculo II,6.4
2019.1,Probabilidade e Estatística para Ciência da Computação,8.6
2019.1,Sistemas Distribuídos,6.3
2019.1,Projeto de Sistemas,7.4
2019.1,Computação III,3.9
2019.2,Cálculo Aplicado,8.4
2019.2,Física para Ciência da Computação,7
2019.2,Modelagem de Sistemas,6.2
2019.2,Tópicos Especiais em Programação de Computadores,7.6
